"","Top.Module","Measure","Variables_Names"
"148","27_84_105","901.064675948019","SSN.years.ago__AssetPropertyLotSizeTotal__BusExecLinkPropertyOverlapCount2"
"149","27_84_107","901.064675948019","SSN.years.ago__AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount2"
"150","10_88_105","900.211926536073","TotalInquiries__AssetWatercraftCount__BusExecLinkPropertyOverlapCount2"
"151","27_99_105","897.379621577597","SSN.years.ago__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2"
"152","29_67_105_166","890.106902496608","VantageScore3.SCORE__BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2NameOnFile"
"153","88_97_110","888.198697298945","AssetWatercraftCount__Inquiry03Month__BusExecLinkUtilityOverlapCount3"
"154","88_97_109","888.198697298945","AssetWatercraftCount__Inquiry03Month__BusExecLinkPropertyOverlapCount3"
"155","4_67_110","862.578128037596","RealEstateBalance__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3"
"156","84_105_113","862.082423909171","AssetPropertyLotSizeTotal__BusExecLinkPropertyOverlapCount2__InputAddrSourceCount"
"157","10_103_105","860.015785217523","TotalInquiries__BusExecLinkUtilityOverlapCount__BusExecLinkPropertyOverlapCount2"
"158","16_100_109","859.498542485482","PctNegTradesNow__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"159","33_88_109","840.794335778682","FS1__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"160","16_56_109","832.805637024812","PctNegTradesNow__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"161","67_90_110","825.416444935522","BankruptcyCount24Month__UCCTimeNewest__BusExecLinkUtilityOverlapCount3"
"162","88_105_119","812.577259978376","AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__AssociateHighCrimeAddrCount"
"163","10_99_107_154","796.527965972879","TotalInquiries__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__JudgmentType"
"164","88_91_109","791.181054690657","AssetWatercraftCount__UCCTimeOldest__BusExecLinkPropertyOverlapCount3"
"165","10_99_107","790.632497784389","TotalInquiries__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2"
"166","1_90_109","784.03709059035","DisputedAccountsExcluded__UCCTimeNewest__BusExecLinkPropertyOverlapCount3"
"167","1_90_110","784.03709059035","DisputedAccountsExcluded__UCCTimeNewest__BusExecLinkUtilityOverlapCount3"
"168","30_88_109","782.984358930844","TIB__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"169","88_109_118","781.112363352098","AssetWatercraftCount__BusExecLinkPropertyOverlapCount3__AssociateCount"
"170","88_110_118","781.112363352098","AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__AssociateCount"
"171","17_88_107","771.345838688179","PctNegTradesWas__AssetWatercraftCount__BusExecLinkUtilityOverlapCount2"
"172","13_48_109","768.990742668607","PaidAccounts__BusinessRecordTimeNewest__BusExecLinkPropertyOverlapCount3"
"173","13_48_110","768.990742668607","PaidAccounts__BusinessRecordTimeNewest__BusExecLinkUtilityOverlapCount3"
"174","8_103_109","765.989666590565","RealEstatePayment__BusExecLinkUtilityOverlapCount__BusExecLinkPropertyOverlapCount3"
"175","33_103_110","764.177666262335","FS1__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"176","15_56_109","760.322879870302","NowDelinquentDerog__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"177","15_56_110","760.322879870302","NowDelinquentDerog__FirmReportedEarnings__BusExecLinkUtilityOverlapCount3"
"178","48_91_109","759.413773157221","BusinessRecordTimeNewest__UCCTimeOldest__BusExecLinkPropertyOverlapCount3"
"179","55_109_168","751.453745729635","FirmReportedSales__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"180","84_109_132_184","749.290081382266","AssetPropertyLotSizeTotal__BusExecLinkPropertyOverlapCount3__AssociateCityCount__IP224_SCORE"
"181","92_109_168","747.178537998685","InquiryHighRisk12Month__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"182","25_41_110","745.335616547591","SocialCount__FS13__BusExecLinkUtilityOverlapCount3"
"183","5_100_109","726.060696671468","RevolvingBalance__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"184","9_99_105","723.12162183819","RevolvingAvailablePercent__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2"
"185","25_48_109","713.996445245949","SocialCount__BusinessRecordTimeNewest__BusExecLinkPropertyOverlapCount3"
"186","88_101_107_118","710.279612928838","AssetWatercraftCount__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2__AssociateCount"
"187","23_100_110","708.073093291259","DelinquenciesOver90Days__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"188","23_100_109","708.073093291259","DelinquenciesOver90Days__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"189","68_109_159_182","706.725055230719","BankruptcyTimeNewest__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRepPhoneOnFile__InputPhoneProblems"
"190","88_105_131","703.69494352327","AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount"
"191","55_105_107","695.982172865157","FirmReportedSales__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"192","50_67_110","694.932744621752","BusinessActivity06Month__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3"
"193","26_103_110","689.285883245702","AddressCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"194","22_100_110","674.78087548906","DelinquenciesOver60Days__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"195","67_82_109","674.340310983003","BankruptcyCount24Month__AssetPropertyCount__BusExecLinkPropertyOverlapCount3"
"196","1_10_110_167","654.801114381888","DisputedAccountsExcluded__TotalInquiries__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2AddrOnFile"
"197","21_56_110","652.997903229959","DelinquenciesOver30Days__FirmReportedEarnings__BusExecLinkUtilityOverlapCount3"
"198","3_67_109","645.741017428993","InstallmentBalance__BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3"
"199","5_67_110","642.511272226732","RevolvingBalance__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3"
"200","22_56_109","640.125711067368","DelinquenciesOver60Days__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
