"","Var","Score","Variables_Names"
"68","29_121","27.5121","VantageScore3.SCORE__AssociateCountWithFelony"
"69","29_59_120","27.5121","VantageScore3.SCORE__OrgLegalEntityCount__AssociateFelonyCount"
"70","29_60","27.5121","VantageScore3.SCORE__OrgAddrLegalEntityCount"
"71","29_59","27.5121","VantageScore3.SCORE__OrgLegalEntityCount"
"72","29_75","27.5121","VantageScore3.SCORE__JudgmentCount"
"73","29_77_121","27.5121","VantageScore3.SCORE__JudgmentCount24Month__AssociateCountWithFelony"
"74","29_77_83","27.5121","VantageScore3.SCORE__JudgmentCount24Month__AssetPropertyStateCount"
"75","29_76","27.5121","VantageScore3.SCORE__JudgmentCount12Month"
"76","29_77_152","27.5121","VantageScore3.SCORE__JudgmentCount24Month__BankruptcyChapter"
"77","29_83_152","27.5121","VantageScore3.SCORE__AssetPropertyStateCount__BankruptcyChapter"
"78","29_58","27.5121","VantageScore3.SCORE__OrgRelatedCount"
"79","29_87","27.5121","VantageScore3.SCORE__AssetAircraftCount"
"80","29_87_130","27.5121","VantageScore3.SCORE__AssetAircraftCount__AssociateWatchlistCount"
"81","29_129","27.5121","VantageScore3.SCORE__AssociateHighRiskAddrCount"
"82","29_65","27.5121","VantageScore3.SCORE__BankruptcyCount"
"83","29_152","27.5121","VantageScore3.SCORE__BankruptcyChapter"
"84","29_58_76","27.5121","VantageScore3.SCORE__OrgRelatedCount__JudgmentCount12Month"
"85","29_75_83","27.5121","VantageScore3.SCORE__JudgmentCount__AssetPropertyStateCount"
"86","29_120","27.5121","VantageScore3.SCORE__AssociateFelonyCount"
"87","29_130","27.5121","VantageScore3.SCORE__AssociateWatchlistCount"
"88","29_129_152","27.5121","VantageScore3.SCORE__AssociateHighRiskAddrCount__BankruptcyChapter"
"89","29_75_120","27.5121","VantageScore3.SCORE__JudgmentCount__AssociateFelonyCount"
"90","29_60_87","27.5121","VantageScore3.SCORE__OrgAddrLegalEntityCount__AssetAircraftCount"
"91","29_87_120","27.5121","VantageScore3.SCORE__AssetAircraftCount__AssociateFelonyCount"
"92","29_59_60","27.5121","VantageScore3.SCORE__OrgLegalEntityCount__OrgAddrLegalEntityCount"
"93","29_83_120","27.5121","VantageScore3.SCORE__AssetPropertyStateCount__AssociateFelonyCount"
"94","29_162","27.3483","VantageScore3.SCORE__BusExecLinkBusNameAuthRepFull"
"95","29_101","27.3483","VantageScore3.SCORE__BusExecLinkPropertyOverlapCount"
"96","29_103","27.321","VantageScore3.SCORE__BusExecLinkUtilityOverlapCount"
"97","29_148","27.0372","VantageScore3.SCORE__FirmNonProfit"
"98","29_41","26.9565","VantageScore3.SCORE__FS13"
"99","29","26.9462","VantageScore3.SCORE"
"100","16_25_40","25.115","PctNegTradesNow__SocialCount__FS12"
"101","16_25_111","24.754","PctNegTradesNow__SocialCount__BusExecLinkInquiryOverlapCount3"
"102","15_34_185","24.5723","NowDelinquentDerog__FS2__IP224_SCOREind"
"103","15_185","24.5648","NowDelinquentDerog__IP224_SCOREind"
"104","16_25","24.5143","PctNegTradesNow__SocialCount"
"105","11_16","23.5499","InquiriesDuringLast6Months__PctNegTradesNow"
"106","16_34_37","23.4889","PctNegTradesNow__FS2__FS9"
"107","16_37_41","23.3834","PctNegTradesNow__FS9__FS13"
"108","16_37_66","23.1939","PctNegTradesNow__FS9__BankruptcyCount12Month"
"109","16_37_120","23.1638","PctNegTradesNow__FS9__AssociateFelonyCount"
"110","16_37_83","23.1638","PctNegTradesNow__FS9__AssetPropertyStateCount"
"111","16_37_59","23.1638","PctNegTradesNow__FS9__OrgLegalEntityCount"
"112","15_25_110","23.0877","NowDelinquentDerog__SocialCount__BusExecLinkUtilityOverlapCount3"
"113","16_37","22.893","PctNegTradesNow__FS9"
"114","15_25","22.86","NowDelinquentDerog__SocialCount"
"115","15_37_46_77","22.8022","NowDelinquentDerog__FS9__FS27__JudgmentCount24Month"
"116","15_37_87","22.7948","NowDelinquentDerog__FS9__AssetAircraftCount"
"117","16_53_185","22.763","PctNegTradesNow__FirmAgeEstablished__IP224_SCOREind"
"118","15_37_95","22.7583","NowDelinquentDerog__FS9__InquiryCredit03Month"
"119","15_37_67","22.6036","NowDelinquentDerog__FS9__BankruptcyCount24Month"
"120","11_15","22.5925","InquiriesDuringLast6Months__NowDelinquentDerog"
"121","1_16_185","22.4765","DisputedAccountsExcluded__PctNegTradesNow__IP224_SCOREind"
"122","16_41_185","22.4647","PctNegTradesNow__FS13__IP224_SCOREind"
"123","16_185","22.1403","PctNegTradesNow__IP224_SCOREind"
"124","15_37_94","21.995","NowDelinquentDerog__FS9__InquiryCredit12Month"
"125","15_37","21.6673","NowDelinquentDerog__FS9"
"126","15_26_34","21.2975","NowDelinquentDerog__AddressCount__FS2"
"127","37_185","20.3834","FS9__IP224_SCOREind"
"128","25_185_189","20.3665","SocialCount__IP224_SCOREind__SecurityStatementPresent"
"129","16_26_56","20.3418","PctNegTradesNow__AddressCount__FirmReportedEarnings"
"130","16_26_110","20.3341","PctNegTradesNow__AddressCount__BusExecLinkUtilityOverlapCount3"
"131","16_26","20.2797","PctNegTradesNow__AddressCount"
"132","15_26_189","20.1903","NowDelinquentDerog__AddressCount__SecurityStatementPresent"
"133","16_40_109_160","19.9411","PctNegTradesNow__FS12__BusExecLinkPropertyOverlapCount3__BusExecLinkBusNameAuthRepFirst"
"134","15_26_110","19.7569","NowDelinquentDerog__AddressCount__BusExecLinkUtilityOverlapCount3"
"135","20_41_141","19.7523","OldesttradeopenYearsAgo__FS13__InputCheckAuthRep2Phone"
"136","15_26","19.7111","NowDelinquentDerog__AddressCount"
"137","11_179_189","19.5609","InquiriesDuringLast6Months__BusAddrPersonNameOverlap__SecurityStatementPresent"
"138","16_40_103","19.5366","PctNegTradesNow__FS12__BusExecLinkUtilityOverlapCount"
"139","10_16_111","19.5116","TotalInquiries__PctNegTradesNow__BusExecLinkInquiryOverlapCount3"
"140","20_34_46","19.4452","OldesttradeopenYearsAgo__FS2__FS27"
"141","10_16_95","19.4429","TotalInquiries__PctNegTradesNow__InquiryCredit03Month"
"142","20_168","19.4243","OldesttradeopenYearsAgo__BusExecLinkAuthRep2PhoneOnFile"
"143","20_141","19.3784","OldesttradeopenYearsAgo__InputCheckAuthRep2Phone"
"144","8_46_184","19.3257","RealEstatePayment__FS27__IP224_SCORE"
"145","25_185","19.2844","SocialCount__IP224_SCOREind"
"146","16_40_88","19.2769","PctNegTradesNow__FS12__AssetWatercraftCount"
"147","28_37_41","19.215","FICO2.SCORE__FS9__FS13"
