"","Top.Module","Measure","Variables_Names"
"16","66_105_189","3319.0626278543","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__SecurityStatementPresent"
"17","100_107_189","3307.19901767178","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__SecurityStatementPresent"
"18","66_107_121","3298.9284744397","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__AssociateCountWithFelony"
"19","100_105_120","3286.39599114016","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateFelonyCount"
"20","66_105_188","3240.94949000413","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__SSNAddressVariance"
"21","100_105_188","3239.00269625042","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__SSNAddressVariance"
"22","59_65_100_107","3238.09347020619","OrgLegalEntityCount__BankruptcyCount__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2"
"23","66_107","3157.76433509451","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2"
"24","100_105","3152.96343499679","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2"
"25","100_109_114_166","3076.15388254769","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__InputAddrLotSize__BusExecLinkAuthRep2NameOnFile"
"26","100_110_169","2857.33080889101","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2SSNOnFile"
"27","100_110_166","2788.16632625031","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2NameOnFile"
"28","67_110_131","2727.35949028847","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3__AssociateBusinessCount"
"29","41_46_109","2443.32335662181","FS13__FS27__BusExecLinkPropertyOverlapCount3"
"30","63_100_110","2377.56959216547","SOSEverDefunct__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"31","64_100_109","2374.00337873518","SOSStateCount__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"32","67_87_110_157","2369.24913712296","BankruptcyCount24Month__AssetAircraftCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile"
"33","67_109_145_167","2334.80260842847","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3__VerificationBusInputFEIN__BusExecLinkAuthRep2AddrOnFile"
"34","67_105_131","2323.67392947224","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount"
"35","67_107_131","2323.67361814092","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__AssociateBusinessCount"
"36","100_110_157","2166.70220188547","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile"
"37","88_110_168","2142.01187680579","AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"38","10_88_109","2014.26694625653","TotalInquiries__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"39","10_100_110","2003.58537634029","TotalInquiries__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"40","107_110","1967.45717957997","BusExecLinkUtilityOverlapCount2__BusExecLinkUtilityOverlapCount3"
"41","9_88_110","1952.34078990642","RevolvingAvailablePercent__AssetWatercraftCount__BusExecLinkUtilityOverlapCount3"
"42","9_100_110","1948.76678070752","RevolvingAvailablePercent__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"43","56_98_109","1944.2912354359","FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount3"
"44","88_98_110","1938.89078724006","AssetWatercraftCount__InquiryConsumerAddress__BusExecLinkUtilityOverlapCount3"
"45","56_105_107","1912.86612432124","FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"46","101_103_107","1900.98161420493","BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount2"
"47","87_103_107","1891.27950976167","AssetAircraftCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount2"
"48","56_109_132","1870.49936148496","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__AssociateCityCount"
